chr,source,id,start,end,.,strand,..,annotation,seqLen,geneName
chr5,refGene,transcript,95456806,95485589,.,+,.,gene_id D5Ertd577e; transcript_id NM_177187;  gene_name D5Ertd577e;,28783,D5Ertd577e
chr14,refGene,transcript,34375504,34404286,.,+,.,gene_id Mmrn2; transcript_id NM_153127;  gene_name Mmrn2;,28782,Mmrn2
chr3,refGene,transcript,123006206,123034987,.,-,.,gene_id Myoz2; transcript_id NM_001355462;  gene_name Myoz2;,28781,Myoz2
chr6,refGene,transcript,34476356,34505136,.,+,.,gene_id Bpgm; transcript_id NM_007563;  gene_name Bpgm;,28780,Bpgm
chr2,refGene,transcript,125830302,125859082,.,-,.,gene_id Cops2; transcript_id NM_001285513;  gene_name Cops2;,28780,Cops2
chr8,refGene,transcript,121916138,121944912,.,-,.,gene_id Car5a; transcript_id NM_007608;  gene_name Car5a;,28774,Car5a
chr12,refGene,transcript,102469134,102497907,.,+,.,gene_id Golga5; transcript_id NM_001199004;  gene_name Golga5;,28773,Golga5
chr12,refGene,transcript,28553756,28582528,.,-,.,gene_id Allc; transcript_id NM_053156;  gene_name Allc;,28772,Allc
chr5,refGene,transcript,100039994,100068765,.,+,.,gene_id Enoph1; transcript_id NM_001163035;  gene_name Enoph1;,28771,Enoph1
chr17,refGene,transcript,14665500,14694262,.,-,.,gene_id Thbs2; transcript_id NM_011581;  gene_name Thbs2;,28762,Thbs2
chr3,refGene,transcript,55055242,55084002,.,+,.,gene_id 4931419H13Rik; transcript_id NR_040593;  gene_name 4931419H13Rik;,28760,4931419H13Rik
chr12,refGene,transcript,21286297,21315056,.,+,.,gene_id Cpsf3; transcript_id NM_001364372;  gene_name Cpsf3;,28759,Cpsf3
chr9,refGene,transcript,64922861,64951620,.,-,.,gene_id Slc24a1; transcript_id NM_144813;  gene_name Slc24a1;,28759,Slc24a1
chr12,refGene,transcript,51348230,51376986,.,+,.,gene_id G2e3; transcript_id NM_001167964;  gene_name G2e3;,28756,G2e3
chr9,refGene,transcript,100457719,100486473,.,-,.,gene_id Il20rb; transcript_id NM_001033543;  gene_name Il20rb;,28754,Il20rb
chr12,refGene,transcript,83763634,83792384,.,+,.,gene_id Papln; transcript_id NM_001205343;  gene_name Papln;,28750,Papln
chr13,refGene,transcript,38932132,38960879,.,-,.,gene_id Slc35b3; transcript_id NM_001170431;  gene_name Slc35b3;,28747,Slc35b3
chr2,refGene,transcript,152415587,152444330,.,+,.,gene_id 6820408C15Rik; transcript_id NR_110367;  gene_name 6820408C15Rik;,28743,6820408C15Rik
chr6,refGene,transcript,125009126,125037869,.,+,.,gene_id Zfp384; transcript_id NM_001372424;  gene_name Zfp384;,28743,Zfp384
chr6,refGene,transcript,29433153,29461889,.,+,.,gene_id Flnc; transcript_id NM_001081185;  gene_name Flnc;,28736,Flnc
chr6,refGene,transcript,30481039,30509773,.,-,.,gene_id Tmem209; transcript_id NM_001347087;  gene_name Tmem209;,28734,Tmem209
chr14,refGene,transcript,120478461,120507192,.,+,.,gene_id Rap2a; transcript_id NM_029519;  gene_name Rap2a;,28731,Rap2a
chr17,refGene,transcript,58996251,59024981,.,+,.,gene_id Nudt12os; transcript_id NR_145521;  gene_name Nudt12os;,28730,Nudt12os
chr9,refGene,transcript,99006965,99035690,.,-,.,gene_id Gm1123; transcript_id NM_001080776;  gene_name Gm1123;,28725,Gm1123
chr2,refGene,transcript,73283872,73312592,.,-,.,gene_id Cir1; transcript_id NM_025854;  gene_name Cir1;,28720,Cir1
chr2,refGene,transcript,153241532,153270249,.,+,.,gene_id Pofut1; transcript_id NM_080463;  gene_name Pofut1;,28717,Pofut1
chr17,refGene,transcript,25133391,25162103,.,+,.,gene_id Clcn7; transcript_id NM_011930;  gene_name Clcn7;,28712,Clcn7
chr5,refGene,transcript,134148058,134176767,.,-,.,gene_id Rcc1l; transcript_id NM_033572;  gene_name Rcc1l;,28709,Rcc1l
chr1,refGene,transcript,191436340,191465048,.,-,.,gene_id Gm32200; transcript_id NR_151615;  gene_name Gm32200;,28708,Gm32200
chr2,refGene,transcript,127270229,127298934,.,+,.,gene_id Stard7; transcript_id NM_139308;  gene_name Stard7;,28705,Stard7
chr6,refGene,transcript,112359324,112388023,.,-,.,gene_id Ssu2; transcript_id NM_175525;  gene_name Ssu2;,28699,Ssu2
chr4,refGene,transcript,140745508,140774203,.,-,.,gene_id Padi4; transcript_id NM_011061;  gene_name Padi4;,28695,Padi4
chr2,refGene,transcript,11705293,11733985,.,+,.,gene_id Il15ra; transcript_id NM_001271497;  gene_name Il15ra;,28692,Il15ra
chr17,refGene,transcript,28177196,28205886,.,+,.,gene_id Zfp523; transcript_id NM_001357995;  gene_name Zfp523;,28690,Zfp523
chr5,refGene,transcript,122325508,122354195,.,-,.,gene_id Rad9b; transcript_id NM_144912;  gene_name Rad9b;,28687,Rad9b
chr5,refGene,transcript,137892933,137921619,.,-,.,gene_id Cyp3a13; transcript_id NM_007819;  gene_name Cyp3a13;,28686,Cyp3a13
chr4,refGene,transcript,6191105,6219788,.,+,.,gene_id Ubxn2b; transcript_id NM_026534;  gene_name Ubxn2b;,28683,Ubxn2b
chr11,refGene,transcript,4186833,4215505,.,+,.,gene_id Tbc1d10a; transcript_id NM_134023;  gene_name Tbc1d10a;,28672,Tbc1d10a
chrX,refGene,transcript,164090187,164118859,.,+,.,gene_id Cltrn; transcript_id NM_020626;  gene_name Cltrn;,28672,Cltrn
chr7,refGene,transcript,64345385,64374056,.,-,.,gene_id Fan1; transcript_id NM_177893;  gene_name Fan1;,28671,Fan1
chr1,refGene,transcript,175632193,175660853,.,+,.,gene_id Kmo; transcript_id NM_133809;  gene_name Kmo;,28660,Kmo
chr10,refGene,transcript,93831555,93860210,.,+,.,gene_id Usp44; transcript_id NM_001206851;  gene_name Usp44;,28655,Usp44
chr17,refGene,transcript,66123520,66152174,.,+,.,gene_id Ddx11; transcript_id NM_001003919;  gene_name Ddx11;,28654,Ddx11
chr16,refGene,transcript,84835124,84863778,.,+,.,gene_id Gabpa; transcript_id NM_008065;  gene_name Gabpa;,28654,Gabpa
chr4,refGene,transcript,135369577,135398227,.,-,.,gene_id Ncmap; transcript_id NM_001168500;  gene_name Ncmap;,28650,Ncmap
chr4,refGene,transcript,141761998,141790644,.,-,.,gene_id Dnajc16; transcript_id NM_172338;  gene_name Dnajc16;,28646,Dnajc16
chr17,refGene,transcript,56953490,56982126,.,-,.,gene_id Acer1; transcript_id NM_175731;  gene_name Acer1;,28636,Acer1
chr6,refGene,transcript,72013896,72042528,.,-,.,gene_id 9130221F21Rik; transcript_id NR_046180;  gene_name 9130221F21Rik;,28632,9130221F21Rik
chrX,refGene,transcript,99820164,99848789,.,+,.,gene_id Tmem28; transcript_id NM_001081283;  gene_name Tmem28;,28625,Tmem28
chr17,refGene,transcript,74395608,74424229,.,+,.,gene_id Slc30a6; transcript_id NM_001252478;  gene_name Slc30a6;,28621,Slc30a6
chr4,refGene,transcript,155562381,155591001,.,+,.,gene_id Nadk; transcript_id NM_138671;  gene_name Nadk;,28620,Nadk
chr18,refGene,transcript,70472454,70501065,.,+,.,gene_id Stard6; transcript_id NM_029019;  gene_name Stard6;,28611,Stard6
chr9,refGene,transcript,44067021,44095627,.,+,.,gene_id Usp2; transcript_id NM_198092;  gene_name Usp2;,28606,Usp2
chr2,refGene,transcript,38931980,38960585,.,+,.,gene_id Olfml2a; transcript_id NM_172854;  gene_name Olfml2a;,28605,Olfml2a
chr13,refGene,transcript,65177111,65205716,.,-,.,gene_id Nlrp4f; transcript_id NM_175290;  gene_name Nlrp4f;,28605,Nlrp4f
chr10,refGene,transcript,7444873,7473477,.,-,.,gene_id Ulbp1; transcript_id NM_029975;  gene_name Ulbp1;,28604,Ulbp1
chr10,refGene,transcript,81901911,81930512,.,-,.,gene_id Zfp781; transcript_id NM_001368187;  gene_name Zfp781;,28601,Zfp781
chr19,refGene,transcript,57361009,57389594,.,+,.,gene_id Fam160b1; transcript_id NM_145505;  gene_name Fam160b1;,28585,Fam160b1
chr10,refGene,transcript,39958061,39986646,.,-,.,gene_id Mfsd4b5; transcript_id NM_001113388;  gene_name Mfsd4b5;,28585,Mfsd4b5
chr4,refGene,transcript,119108745,119137329,.,+,.,gene_id Slc2a1; transcript_id NM_011400;  gene_name Slc2a1;,28584,Slc2a1
chr15,refGene,transcript,80671847,80700425,.,+,.,gene_id Fam83f; transcript_id NM_145986;  gene_name Fam83f;,28578,Fam83f
chr13,refGene,transcript,67069398,67097976,.,-,.,gene_id Zfp708; transcript_id NM_001012449;  gene_name Zfp708;,28578,Zfp708
chr14,refGene,transcript,62663667,62692243,.,+,.,gene_id Serpine3; transcript_id NM_001199945;  gene_name Serpine3;,28576,Serpine3
chr6,refGene,transcript,29348106,29376675,.,+,.,gene_id Calu; transcript_id NM_184053;  gene_name Calu;,28569,Calu
chr18,refGene,transcript,75367365,75395934,.,+,.,gene_id Smad7; transcript_id NM_001042660;  gene_name Smad7;,28569,Smad7
chr1,refGene,transcript,92831645,92860211,.,+,.,gene_id Gpc1; transcript_id NM_016696;  gene_name Gpc1;,28566,Gpc1
chr8,refGene,transcript,111003186,111031751,.,-,.,gene_id Ddx19b; transcript_id NM_001190786;  gene_name Ddx19b;,28565,Ddx19b
chr1,refGene,transcript,162570515,162599080,.,+,.,gene_id Vamp4; transcript_id NM_001356526;  gene_name Vamp4;,28565,Vamp4
chr15,refGene,transcript,80133146,80161706,.,+,.,gene_id Tab1; transcript_id NM_025609;  gene_name Tab1;,28560,Tab1
chr16,refGene,transcript,45224337,45252895,.,+,.,gene_id Btla; transcript_id NM_177584;  gene_name Btla;,28558,Btla
chr4,refGene,transcript,152086842,152115397,.,+,.,gene_id Plekhg5; transcript_id NM_001374783;  gene_name Plekhg5;,28555,Plekhg5
chr13,refGene,transcript,38500271,38528824,.,-,.,gene_id Txndc5; transcript_id NM_001289598;  gene_name Txndc5;,28553,Txndc5
chr7,refGene,transcript,30460058,30488609,.,+,.,gene_id Nphs1; transcript_id NM_019459;  gene_name Nphs1;,28551,Nphs1
chr11,refGene,transcript,52360851,52389397,.,+,.,gene_id Vdac1; transcript_id NM_011694;  gene_name Vdac1;,28546,Vdac1
chr10,refGene,transcript,81901967,81930512,.,-,.,gene_id Gm3055; transcript_id NM_001346707_2;  gene_name Gm3055;,28545,Gm3055
chrX,refGene,transcript,151313335,151341879,.,-,.,gene_id A230072E10Rik; transcript_id NR_015600;  gene_name A230072E10Rik;,28544,A230072E10Rik
chr18,refGene,transcript,84851338,84879871,.,+,.,gene_id Cyb5a; transcript_id NM_025797;  gene_name Cyb5a;,28533,Cyb5a
chr18,refGene,transcript,34344886,34373415,.,-,.,gene_id Reep5; transcript_id NM_007874;  gene_name Reep5;,28529,Reep5
chr16,refGene,transcript,87454985,87483513,.,+,.,gene_id Usp16; transcript_id NM_024258;  gene_name Usp16;,28528,Usp16
chr9,refGene,transcript,109717566,109746089,.,-,.,gene_id Fbxw26; transcript_id NM_198674;  gene_name Fbxw26;,28523,Fbxw26
chr18,refGene,transcript,12128850,12157367,.,+,.,gene_id Riok3; transcript_id NM_024182;  gene_name Riok3;,28517,Riok3
chr15,refGene,transcript,11000721,11029233,.,+,.,gene_id Slc45a2; transcript_id NM_053077;  gene_name Slc45a2;,28512,Slc45a2
chr2,refGene,transcript,131909928,131938436,.,+,.,gene_id Prnp; transcript_id NM_001278256;  gene_name Prnp;,28508,Prnp
chr9,refGene,transcript,120539818,120568326,.,+,.,gene_id Entpd3; transcript_id NM_178676;  gene_name Entpd3;,28508,Entpd3
chr9,refGene,transcript,104098138,104126643,.,-,.,gene_id Ackr4; transcript_id NM_145700;  gene_name Ackr4;,28505,Ackr4
chr1,refGene,transcript,182313102,182341606,.,-,.,gene_id Fbxo28; transcript_id NM_175127;  gene_name Fbxo28;,28504,Fbxo28
chr3,refGene,transcript,152181580,152210083,.,-,.,gene_id Dnajb4; transcript_id NM_001356363;  gene_name Dnajb4;,28503,Dnajb4
chr19,refGene,transcript,7612537,7641040,.,+,.,gene_id Plaat5; transcript_id NM_001368696;  gene_name Plaat5;,28503,Plaat5
chr6,refGene,transcript,3288519,3317019,.,+,.,gene_id Gm8579; transcript_id NR_036696;  gene_name Gm8579;,28500,Gm8579
chr8,refGene,transcript,46552069,46580568,.,+,.,gene_id Cenpu; transcript_id NM_001368403;  gene_name Cenpu;,28499,Cenpu
chr11,refGene,transcript,38491548,38520045,.,-,.,gene_id Gm12130; transcript_id NR_040295;  gene_name Gm12130;,28497,Gm12130
chr3,refGene,transcript,101576219,101604707,.,-,.,gene_id Atp1a1; transcript_id NM_144900;  gene_name Atp1a1;,28488,Atp1a1
chr12,refGene,transcript,4879032,4907520,.,-,.,gene_id Ubxn2a; transcript_id NM_145441;  gene_name Ubxn2a;,28488,Ubxn2a
chr14,refGene,transcript,33988417,34016903,.,-,.,gene_id Gm30083; transcript_id NM_001374166;  gene_name Gm30083;,28486,Gm30083
chr9,refGene,transcript,45319100,45347580,.,+,.,gene_id Tmprss13; transcript_id NM_001013373;  gene_name Tmprss13;,28480,Tmprss13
chr1,refGene,transcript,45795166,45823638,.,+,.,gene_id Wdr75; transcript_id NM_028599;  gene_name Wdr75;,28472,Wdr75
chr16,refGene,transcript,96200470,96228933,.,+,.,gene_id Sh3bgr; transcript_id NM_015825;  gene_name Sh3bgr;,28463,Sh3bgr
chr9,refGene,transcript,87702800,87731260,.,-,.,gene_id Tbx18; transcript_id NM_023814;  gene_name Tbx18;,28460,Tbx18
chr4,refGene,transcript,63832824,63861284,.,-,.,gene_id Tnfsf8; transcript_id NM_009403;  gene_name Tnfsf8;,28460,Tnfsf8
chr11,refGene,transcript,59848073,59876533,.,+,.,gene_id Nt5m; transcript_id NM_134029;  gene_name Nt5m;,28460,Nt5m
chr3,refGene,transcript,64258961,64287417,.,-,.,gene_id Vmn2r3; transcript_id NM_001104614;  gene_name Vmn2r3;,28456,Vmn2r3
chrX_GL456233_random,refGene,transcript,10737,39191,.,-,.,gene_id Vamp7; transcript_id NM_001302138;  gene_name Vamp7;,28454,Vamp7
chr5,refGene,transcript,140620577,140649031,.,-,.,gene_id Ttyh3; transcript_id NM_001308040;  gene_name Ttyh3;,28454,Ttyh3
chr17,refGene,transcript,53479234,53507678,.,+,.,gene_id Rab5a; transcript_id NM_025887;  gene_name Rab5a;,28444,Rab5a
chr17,refGene,transcript,43474329,43502773,.,-,.,gene_id Mep1a; transcript_id NM_008585;  gene_name Mep1a;,28444,Mep1a
chr18,refGene,transcript,47761089,47789533,.,-,.,gene_id Gm4146; transcript_id NR_152200;  gene_name Gm4146;,28444,Gm4146
chr11,refGene,transcript,79933956,79962387,.,-,.,gene_id Utp6; transcript_id NM_144826;  gene_name Utp6;,28431,Utp6
chr9,refGene,transcript,45107176,45135606,.,-,.,gene_id Gm10684; transcript_id NR_033547;  gene_name Gm10684;,28430,Gm10684
chr4,refGene,transcript,21848048,21876475,.,+,.,gene_id Pnisr; transcript_id NM_025669;  gene_name Pnisr;,28427,Pnisr
chr15,refGene,transcript,100641082,100669503,.,-,.,gene_id Bin2; transcript_id NM_001368666;  gene_name Bin2;,28421,Bin2
chr4,refGene,transcript,147674225,147702631,.,-,.,gene_id Zfp534; transcript_id NM_001127188;  gene_name Zfp534;,28406,Zfp534
chr4,refGene,transcript,44004443,44032846,.,+,.,gene_id Clta; transcript_id NM_001080384;  gene_name Clta;,28403,Clta
chr6,refGene,transcript,73248505,73276907,.,+,.,gene_id Suclg1; transcript_id NM_019879;  gene_name Suclg1;,28402,Suclg1
chr3,refGene,transcript,95253674,95282076,.,-,.,gene_id Prune1; transcript_id NM_173347;  gene_name Prune1;,28402,Prune1
chr8,refGene,transcript,93201218,93229619,.,-,.,gene_id Ces1e; transcript_id NM_133660;  gene_name Ces1e;,28401,Ces1e
chr11,refGene,transcript,55049738,55078131,.,-,.,gene_id Ccdc69; transcript_id NM_177471;  gene_name Ccdc69;,28393,Ccdc69
chr7,refGene,transcript,102210173,102238564,.,+,.,gene_id Pgap2; transcript_id NM_001374617;  gene_name Pgap2;,28391,Pgap2
chr3,refGene,transcript,30792876,30821263,.,+,.,gene_id Sec62; transcript_id NM_027016;  gene_name Sec62;,28387,Sec62
chr10,refGene,transcript,13149644,13178023,.,-,.,gene_id Zc2hc1b; transcript_id NM_029172;  gene_name Zc2hc1b;,28379,Zc2hc1b
chr1,refGene,transcript,84906705,84935083,.,-,.,gene_id Slc16a14; transcript_id NM_027921;  gene_name Slc16a14;,28378,Slc16a14
chr12,refGene,transcript,93416457,93444823,.,-,.,gene_id 4930559C10Rik; transcript_id NR_126436;  gene_name 4930559C10Rik;,28366,4930559C10Rik
chr5,refGene,transcript,95775870,95804230,.,+,.,gene_id E330014E10Rik; transcript_id NM_001122668;  gene_name E330014E10Rik;,28360,E330014E10Rik
chr4,refGene,transcript,89099867,89128226,.,-,.,gene_id Gm12602; transcript_id NR_151607;  gene_name Gm12602;,28359,Gm12602
chr17,refGene,transcript,22197265,22225614,.,-,.,gene_id Zfp994; transcript_id NM_001205095;  gene_name Zfp994;,28349,Zfp994
chr17,refGene,transcript,37045966,37074305,.,+,.,gene_id Gabbr1; transcript_id NM_019439;  gene_name Gabbr1;,28339,Gabbr1
chr11,refGene,transcript,70017203,70045531,.,+,.,gene_id Dlg4; transcript_id NM_001370675;  gene_name Dlg4;,28328,Dlg4
chr7,refGene,transcript,100006404,100034726,.,+,.,gene_id Chrdl2; transcript_id NM_133709;  gene_name Chrdl2;,28322,Chrdl2
chr4,refGene,transcript,49379840,49408151,.,-,.,gene_id Acnat2; transcript_id NM_145368;  gene_name Acnat2;,28311,Acnat2
chr11,refGene,transcript,87376646,87404954,.,-,.,gene_id Rad51c; transcript_id NM_001291440;  gene_name Rad51c;,28308,Rad51c
chr1,refGene,transcript,132477367,132505665,.,+,.,gene_id Rbbp5; transcript_id NM_001357486;  gene_name Rbbp5;,28298,Rbbp5
chr8,refGene,transcript,79683442,79711740,.,-,.,gene_id Abce1; transcript_id NM_015751;  gene_name Abce1;,28298,Abce1
chrX,refGene,transcript,139210044,139238335,.,+,.,gene_id Pwwp3b; transcript_id NM_001164630;  gene_name Pwwp3b;,28291,Pwwp3b
chr11,refGene,transcript,51763663,51791953,.,+,.,gene_id Sar1b; transcript_id NM_025535;  gene_name Sar1b;,28290,Sar1b
chr1,refGene,transcript,31176435,31204725,.,+,.,gene_id Lgsn; transcript_id NM_153601;  gene_name Lgsn;,28290,Lgsn
chr2,refGene,transcript,26209124,26237399,.,-,.,gene_id Qsox2; transcript_id NM_153559;  gene_name Qsox2;,28275,Qsox2
chr1,refGene,transcript,186721087,186749358,.,-,.,gene_id Rrp15; transcript_id NM_026041;  gene_name Rrp15;,28271,Rrp15
chr4,refGene,transcript,129307100,129335370,.,-,.,gene_id Rbbp4; transcript_id NM_009030;  gene_name Rbbp4;,28270,Rbbp4
chr19,refGene,transcript,11965844,11994114,.,+,.,gene_id Osbp; transcript_id NM_001033174;  gene_name Osbp;,28270,Osbp
chr1,refGene,transcript,52789420,52817688,.,-,.,gene_id Inpp1; transcript_id NM_008384;  gene_name Inpp1;,28268,Inpp1
chr16,refGene,transcript,43861413,43889676,.,-,.,gene_id Qtrt2; transcript_id NM_001356329;  gene_name Qtrt2;,28263,Qtrt2
chr14,refGene,transcript,20319859,20348121,.,-,.,gene_id Ecd; transcript_id NM_027475;  gene_name Ecd;,28262,Ecd
chrX,refGene,transcript,48108725,48136981,.,+,.,gene_id Xpnpep2; transcript_id NM_001289729;  gene_name Xpnpep2;,28256,Xpnpep2
chr3,refGene,transcript,90072651,90100902,.,+,.,gene_id Tpm3; transcript_id NM_022314;  gene_name Tpm3;,28251,Tpm3
chr3,refGene,transcript,145004537,145032776,.,-,.,gene_id Clca1; transcript_id NM_017474;  gene_name Clca1;,28239,Clca1
chr1,refGene,transcript,121304353,121332589,.,-,.,gene_id Insig2; transcript_id NM_178082;  gene_name Insig2;,28236,Insig2
chr7,refGene,transcript,15971262,15999495,.,-,.,gene_id Bicra; transcript_id NM_001081418;  gene_name Bicra;,28233,Bicra
chrX,refGene,transcript,13461090,13489321,.,+,.,gene_id Nyx; transcript_id NM_173415;  gene_name Nyx;,28231,Nyx
chr16,refGene,transcript,36934983,36963214,.,+,.,gene_id Hcls1; transcript_id NM_008225;  gene_name Hcls1;,28231,Hcls1
chr7,refGene,transcript,3221510,3249740,.,-,.,gene_id Nlrp12; transcript_id NM_001033431;  gene_name Nlrp12;,28230,Nlrp12
chr8,refGene,transcript,121054882,121083110,.,-,.,gene_id Fendrr; transcript_id NR_045471;  gene_name Fendrr;,28228,Fendrr
chr2,refGene,transcript,119519404,119547627,.,-,.,gene_id Exd1; transcript_id NM_172857;  gene_name Exd1;,28223,Exd1
chr6,refGene,transcript,50566643,50594865,.,+,.,gene_id 5430402O13Rik; transcript_id NR_015581;  gene_name 5430402O13Rik;,28222,5430402O13Rik
chr17,refGene,transcript,18424104,18452324,.,+,.,gene_id Vmn2r95; transcript_id NM_001102581;  gene_name Vmn2r95;,28220,Vmn2r95
chr6,refGene,transcript,123308333,123336537,.,+,.,gene_id Vmn2r19; transcript_id NM_001104632;  gene_name Vmn2r19;,28204,Vmn2r19
chr6,refGene,transcript,146549632,146577835,.,-,.,gene_id Ints13; transcript_id NM_138757;  gene_name Ints13;,28203,Ints13
chr10,refGene,transcript,78436747,78464948,.,-,.,gene_id Pdxk; transcript_id NM_172134;  gene_name Pdxk;,28201,Pdxk
chr6,refGene,transcript,118427319,118455506,.,-,.,gene_id Zfp248; transcript_id NM_028335;  gene_name Zfp248;,28187,Zfp248
chr13,refGene,transcript,3538075,3566261,.,+,.,gene_id Gdi2; transcript_id NM_008112;  gene_name Gdi2;,28186,Gdi2
chr3,refGene,transcript,95559679,95587863,.,+,.,gene_id Hormad1; transcript_id NM_001373886;  gene_name Hormad1;,28184,Hormad1
chr11,refGene,transcript,97159710,97187892,.,-,.,gene_id Kpnb1; transcript_id NM_008379;  gene_name Kpnb1;,28182,Kpnb1
chr17,refGene,transcript,24223232,24251409,.,-,.,gene_id Ccnf; transcript_id NM_007634;  gene_name Ccnf;,28177,Ccnf
chr11,refGene,transcript,33550781,33578957,.,-,.,gene_id Gabrp; transcript_id NM_146017;  gene_name Gabrp;,28176,Gabrp
chr15,refGene,transcript,80091334,80119501,.,+,.,gene_id Syngr1; transcript_id NM_207708;  gene_name Syngr1;,28167,Syngr1
chr14,refGene,transcript,99046377,99074540,.,+,.,gene_id Bora; transcript_id NM_175265;  gene_name Bora;,28163,Bora
chr4,refGene,transcript,141301221,141329384,.,+,.,gene_id Epha2; transcript_id NM_010139;  gene_name Epha2;,28163,Epha2
chr1,refGene,transcript,180726043,180754204,.,+,.,gene_id Acbd3; transcript_id NM_133225;  gene_name Acbd3;,28161,Acbd3
chr17,refGene,transcript,18298281,18326441,.,+,.,gene_id Vmn2r93; transcript_id NM_001104542;  gene_name Vmn2r93;,28160,Vmn2r93
chr6,refGene,transcript,92186712,92214870,.,-,.,gene_id Rbsn; transcript_id NM_030081;  gene_name Rbsn;,28158,Rbsn
chr14,refGene,transcript,51317335,51345489,.,-,.,gene_id 4930597G03Rik; transcript_id NR_045736;  gene_name 4930597G03Rik;,28154,4930597G03Rik
chr8,refGene,transcript,45266688,45294835,.,-,.,gene_id Klkb1; transcript_id NM_008455;  gene_name Klkb1;,28147,Klkb1
chr4,refGene,transcript,42916606,42944750,.,+,.,gene_id Phf24; transcript_id NM_001355693;  gene_name Phf24;,28144,Phf24
chr17,refGene,transcript,86997259,87025401,.,-,.,gene_id Pigf; transcript_id NM_008838;  gene_name Pigf;,28142,Pigf
chr4,refGene,transcript,15917240,15945377,.,-,.,gene_id Decr1; transcript_id NM_026172;  gene_name Decr1;,28137,Decr1
chr5,refGene,transcript,77086986,77115123,.,-,.,gene_id Hopx; transcript_id NM_175606;  gene_name Hopx;,28137,Hopx
chr6,refGene,transcript,147042770,147070902,.,+,.,gene_id Mrps35; transcript_id NM_145573;  gene_name Mrps35;,28132,Mrps35
chr11,refGene,transcript,60417145,60445277,.,+,.,gene_id Gid4; transcript_id NM_025757;  gene_name Gid4;,28132,Gid4
chr1,refGene,transcript,128331575,128359705,.,-,.,gene_id Mcm6; transcript_id NM_008567;  gene_name Mcm6;,28130,Mcm6
chr6,refGene,transcript,131219235,131247362,.,-,.,gene_id Klra2; transcript_id NM_008462;  gene_name Klra2;,28127,Klra2
chr18,refGene,transcript,54611744,54639870,.,+,.,gene_id 9330117O12Rik; transcript_id NR_045400;  gene_name 9330117O12Rik;,28126,9330117O12Rik
chr6,refGene,transcript,71880638,71908762,.,-,.,gene_id Ptcd3; transcript_id NM_027275;  gene_name Ptcd3;,28124,Ptcd3
chr17,refGene,transcript,65923065,65951187,.,-,.,gene_id Twsg1; transcript_id NM_023053;  gene_name Twsg1;,28122,Twsg1
chr13,refGene,transcript,19591708,19619830,.,-,.,gene_id Epdr1; transcript_id NM_134065;  gene_name Epdr1;,28122,Epdr1
chr18,refGene,transcript,36528152,36556272,.,+,.,gene_id Slc4a9; transcript_id NM_001271547;  gene_name Slc4a9;,28120,Slc4a9
chr8,refGene,transcript,22192833,22220953,.,+,.,gene_id Vps36; transcript_id NM_001368379;  gene_name Vps36;,28120,Vps36
chr19,refGene,transcript,60198586,60226701,.,-,.,gene_id Fam204a; transcript_id NM_001358273;  gene_name Fam204a;,28115,Fam204a
chr4,refGene,transcript,125085134,125113238,.,+,.,gene_id Meaf6; transcript_id NM_027310;  gene_name Meaf6;,28104,Meaf6
chr5,refGene,transcript,73651380,73679484,.,+,.,gene_id Spata18; transcript_id NM_178387;  gene_name Spata18;,28104,Spata18
chrX,refGene,transcript,7607103,7635196,.,+,.,gene_id Cacna1f; transcript_id NM_019582;  gene_name Cacna1f;,28093,Cacna1f
chr4,refGene,transcript,131873639,131901725,.,+,.,gene_id Srsf4; transcript_id NM_020587;  gene_name Srsf4;,28086,Srsf4
chr7,refGene,transcript,102441695,102469771,.,+,.,gene_id Rrm1; transcript_id NM_009103;  gene_name Rrm1;,28076,Rrm1
chr4,refGene,transcript,106561038,106589113,.,+,.,gene_id Dhcr24; transcript_id NM_053272;  gene_name Dhcr24;,28075,Dhcr24
chr4,refGene,transcript,138216612,138244682,.,+,.,gene_id Hp1bp3; transcript_id NM_001122896;  gene_name Hp1bp3;,28070,Hp1bp3
chr15,refGene,transcript,102296293,102324356,.,+,.,gene_id Espl1; transcript_id NM_001356312;  gene_name Espl1;,28063,Espl1
chr18,refGene,transcript,76944115,76972171,.,+,.,gene_id Hdhd2; transcript_id NM_029826;  gene_name Hdhd2;,28056,Hdhd2
chr15,refGene,transcript,102176998,102205052,.,-,.,gene_id Csad; transcript_id NM_001359126;  gene_name Csad;,28054,Csad
chr6,refGene,transcript,147180241,147208294,.,+,.,gene_id E330012B07Rik; transcript_id NR_033640;  gene_name E330012B07Rik;,28053,E330012B07Rik
chr14,refGene,transcript,123987635,124015684,.,+,.,gene_id 1700024B18Rik; transcript_id NR_045479;  gene_name 1700024B18Rik;,28049,1700024B18Rik
chr2,refGene,transcript,132816141,132844188,.,+,.,gene_id Mcm8; transcript_id NM_001291054;  gene_name Mcm8;,28047,Mcm8
chr12,refGene,transcript,4082574,4110612,.,+,.,gene_id Dnajc27; transcript_id NM_153082;  gene_name Dnajc27;,28038,Dnajc27
chr13,refGene,transcript,24992295,25020317,.,-,.,gene_id Mrs2; transcript_id NM_001013389;  gene_name Mrs2;,28022,Mrs2
chr17,refGene,transcript,75861023,75889039,.,+,.,gene_id Gm4710; transcript_id NR_033456;  gene_name Gm4710;,28016,Gm4710
